t, r_obox_x, r_obox_y, r_obox_phi
2.400000095367431641e-01, 1.760018086827130901e-08, 1.999952346086502075e-01, -2.381717223443047260e-08
2.410000115633010864e-01, 1.760010448492721480e-08, 1.999952346086502075e-01, -2.381688624097932916e-08
2.420000135898590088e-01, 1.760002099615576299e-08, 1.999952346086502075e-01, -2.381657004946191591e-08
2.430000156164169312e-01, 1.759993217831379297e-08, 1.999952346086502075e-01, -2.381622543623507227e-08
2.440000176429748535e-01, 1.759983803140130476e-08, 1.999952346086502075e-01, -2.381585062494195881e-08
2.450000047683715820e-01, 1.759973855541829835e-08, 1.999952346086502075e-01, -2.381544561558257556e-08
2.460000067949295044e-01, 1.759963375036477373e-08, 1.999952346086502075e-01, -2.381501218451376189e-08
2.470000088214874268e-01, 1.759952183988389152e-08, 1.999952346086502075e-01, -2.381454855537867843e-08
2.480000108480453491e-01, 1.759940282397565170e-08, 1.999952346086502075e-01, -2.381405472817732516e-08
2.490000128746032715e-01, 1.759936196776834549e-08, 1.999952346086502075e-01, -2.381294983422321820e-08
2.500000000000000000e-01, 1.759929446620844828e-08, 1.999952346086502075e-01, -2.381228014769476431e-08
2.510000169277191162e-01, 1.759923051736222988e-08, 1.999952346086502075e-01, -2.381204566859196348e-08
2.520000040531158447e-01, 1.759915946308865387e-08, 1.999952346086502075e-01, -2.381178276777973224e-08
2.530000209808349609e-01, 1.759908307974455965e-08, 1.999952346086502075e-01, -2.381148966890123120e-08
2.540000081062316895e-01, 1.759899959097310784e-08, 1.999952346086502075e-01, -2.381116637195646035e-08
2.550000250339508057e-01, 1.759890899677429843e-08, 1.999952346086502075e-01, -2.381081465330225910e-08
2.560000121593475342e-01, 1.759881307350497082e-08, 1.999952346086502075e-01, -2.381043273658178805e-08
2.569999992847442627e-01, 1.759871182116512500e-08, 1.999952346086502075e-01, -2.381002062179504719e-08
2.580000162124633789e-01, 1.759860523975476099e-08, 1.999952346086502075e-01, -2.380957830894203653e-08
2.590000033378601074e-01, 1.759849332927387877e-08, 1.999952346086502075e-01, -2.380910579802275606e-08
2.600000202655792236e-01, 1.759837431336563895e-08, 1.999952346086502075e-01, -2.380860486539404519e-08
2.610000073909759521e-01, 1.759824819203004154e-08, 1.999952346086502075e-01, -2.380807373469906452e-08
2.620000243186950684e-01, 1.759820023039537773e-08, 1.999952346086502075e-01, -2.380692976089449076e-08
2.630000114440917969e-01, 1.759812562340812292e-08, 1.999952346086502075e-01, -2.380622277087240946e-08
2.639999985694885254e-01, 1.759805456913454691e-08, 1.999952346086502075e-01, -2.380595276463282062e-08
2.650000154972076416e-01, 1.759797640943361330e-08, 1.999952346086502075e-01, -2.380565256032696198e-08
2.660000026226043701e-01, 1.759789114430532209e-08, 1.999952346086502075e-01, -2.380532215795483353e-08
2.670000195503234863e-01, 1.759779877374967327e-08, 1.999952346086502075e-01, -2.380496155751643528e-08
